circ_mv,turnover,amount,first_seal_minutes,is_early_seal,open_times,date,symbol,is_limit_up,label
5083650048.0,3.94364,194531008.0,622,0,0,20260204,000517,1,0
4704320000.0,9.39175,436987008.0,612,0,5,20251126,000523,1,0
4942850048.0,6.62601,321275008.0,601,0,1,20251219,000523,1,1
5433160192.0,10.7044,571524992.0,573,1,2,20251222,000523,1,0
5366900224.0,4.13295,217027008.0,571,1,0,20251226,000523,1,0
5618679808.0,9.38435,508897984.0,664,0,1,20260120,000523,1,0
7471029760.0,11.4326,826800000.0,869,0,2,20260209,000525,1,0
7593320834.15,8.183514595031738,600194416.0,783,0,1,20260304,000525,1,0
4062279936.0,11.2255,437448992.0,864,0,0,20251201,000530,1,1
4470309888.0,26.677,1149680000.0,624,0,2,20251202,000530,1,0
4512309760.0,14.0416,605472000.0,645,0,0,20251230,000530,1,0
6240849920.0,5.99507,363156000.0,844,0,0,20251015,000531,1,0
5400600064.0,5.20211,274276992.0,885,0,0,20251210,000532,1,0
5943410606.0,11.30027771,648125040.0,807,0,0,20260109,000532,1,0
5438130176.0,15.9854,835462976.0,801,0,0,20251105,000533,1,1
5979200000.0,23.0618,1337769984.0,622,0,0,20251106,000533,1,0
6807929856.0,23.4113,1528290048.0,611,0,0,20251110,000533,1,0
7102439936.0,17.1667,1169139968.0,596,1,0,20251113,000533,1,0
5972349952.0,14.4969,832889024.0,789,0,0,20251212,000533,1,0
6314800128.0,2.65331,167551008.0,565,1,0,20260202,000533,1,1
6944909824.0,14.2709,960916992.0,580,1,0,20260203,000533,1,1
7636660224.0,13.8441,1042649984.0,571,1,3,20260204,000533,1,0
8225679872.0,12.9846,1018209984.0,617,0,0,20260212,000533,1,1
8225677824.0,12.984615325927734,1018208320.0,617,0,0,20260213,000533,1,0
8424299520.000001,8.393006324768066,701868480.0,571,1,2,20260304,000533,1,1
9266729472.0,1.1664419174194336,108091021.0,565,1,0,20260305,000533,1,1
10191347712.0,1.4528913497924805,148069213.0,565,1,0,20260306,000533,1,1
11211852288.0,7.838573932647705,863385648.0,570,1,0,20260309,000533,1,0
10344399872.0,5.60665,570302976.0,575,1,1,20251106,000534,1,0
12154300416.0,6.51106,766350016.0,791,0,0,20251212,000534,1,0
12569299968.0,5.32292,646054976.0,800,0,0,20260119,000534,1,0
