序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,symbol,name,board_count,change_pct,circ_mv,turnover,amount,first_seal_time,open_times,date
26,600681,百川能源,9.930715560913086,4.76,424005152,6377489754.719999,6382468924.16,6.74716854095459,69271328,093838,093838,0,1/1,1,燃气Ⅱ,600681,百川能源,1,9.930715560913086,6377489754.719999,6.74716854095459,424005152,093838,0,20260303
27,002491,通鼎互联,9.982014656066895,12.23,3779123472,14388214292.33,15042832686.08,26.65719223022461,58504626,093842,150000,16,6/3,1,通信设备,002491,通鼎互联,1,9.982014656066895,14388214292.33,26.65719223022461,3779123472,093842,16,20260303
28,600968,海油发展,9.920635223388672,5.54,1428188864,56314677262.46,56314676869.12,2.568403959274292,181329141,094313,094702,3,2/2,2,油服工程,600968,海油发展,2,9.920635223388672,56314677262.46,2.568403959274292,1428188864,094313,3,20260303
29,002952,亚世光电,9.995497703552246,24.43,214519861,3216088131.7599998,4014826200.0,6.8170061111450195,77151772,094536,094536,0,1/1,1,光学光电,002952,亚世光电,1,9.995497703552246,3216088131.7599998,6.8170061111450195,214519861,094536,0,20260303
30,001299,美能能源,10.028449058532715,15.47,196275706,3378662216.9300003,3753619234.82,6.0388264656066895,36781781,094927,094927,0,1/1,1,燃气Ⅱ,001299,美能能源,1,10.028449058532715,3378662216.9300003,6.0388264656066895,196275706,094927,0,20260303
31,600798,宁波海运,9.952607154846191,4.64,675396128,5598318692.639999,5598318725.12,12.401976585388184,115244134,095009,095009,0,1/1,1,航运港口,600798,宁波海运,1,9.952607154846191,5598318692.639999,12.401976585388184,675396128,095009,0,20260303
32,300164,通源石油,20.022123336791992,21.7,3082772000,12655673882.6,12769552140.8,24.77775001525879,242089778,095139,095339,2,6/3,2,油服工程,300164,通源石油,2,20.022123336791992,12655673882.6,24.77775001525879,3082772000,095139,2,20260303
33,601808,中海油服,10.021552085876465,20.42,2301638320,60452756560.00001,97435907333.12001,3.915532112121582,290073737,095338,095338,0,6/3,2,油服工程,601808,中海油服,2,10.021552085876465,60452756560.00001,3.915532112121582,2301638320,095338,0,20260303
34,600026,中远海能,9.982332229614258,24.9,3256713344,86521932235.5,136083999513.59999,3.8331522941589355,458159726,095421,095603,2,8/4,2,航运港口,600026,中远海能,2,9.982332229614258,86521932235.5,3.8331522941589355,3256713344,095421,2,20260303
35,002040,南 京 港,10.025062561035156,13.17,1343796848,6401613610.65,6426261884.64,21.50303840637207,5620560,095433,145609,8,2/2,2,航运港口,002040,南 京 港,2,10.025062561035156,6401613610.65,21.50303840637207,1343796848,095433,8,20260303
36,002629,仁智股份,10.040705680847168,8.11,1019186096,3432916367.4999995,3455654779.9999995,30.251022338867188,4904117,095545,145400,12,2/2,2,油服工程,002629,仁智股份,2,10.040705680847168,3432916367.4999995,30.251022338867188,1019186096,095545,12,20260303
37,002554,惠博普,10.085836410522461,5.13,1454130368,6840703793.25,6841984010.4,21.629474639892578,22364111,095939,142654,15,6/3,2,油服工程,002554,惠博普,2,10.085836410522461,6840703793.25,21.629474639892578,1454130368,095939,15,20260303
38,600635,大众公用,10.03184700012207,6.91,1976911152,16713850474.25,20401323583.52,12.01473617553711,191404236,095949,101519,2,1/1,1,燃气Ⅱ,600635,大众公用,1,10.03184700012207,16713850474.25,12.01473617553711,1976911152,095949,2,20260303
39,600903,贵州燃气,10.0,7.7,916404480,8855072441.6,8855072441.6,10.522505760192871,3349500,100102,144553,7,1/1,1,燃气Ⅱ,600903,贵州燃气,1,10.0,8855072441.6,10.522505760192871,916404480,100102,7,20260303
40,600688,上海石化,10.028653144836426,3.84,2083040208,28142643840.0,40483651584.0,7.516940116882324,22789632,100113,143328,14,2/2,2,炼化及贸,600688,上海石化,2,10.028653144836426,28142643840.0,7.516940116882324,2083040208,100113,14,20260303
41,002682,龙洲股份,10.043041229248047,7.67,863531760,4313302687.98,4313367100.64,20.499652862548828,49769563,100230,102827,1,1/1,1,物流,002682,龙洲股份,1,10.043041229248047,4313302687.98,20.499652862548828,863531760,100230,1,20260303
42,600333,长春燃气,9.966216087341309,6.51,650791904,3964789752.8399997,3964789778.8799996,16.67059898376465,12663278,100353,144150,2,1/1,1,燃气Ⅱ,600333,长春燃气,1,9.966216087341309,3964789752.8399997,16.67059898376465,650791904,100353,2,20260303
43,002911,佛燃能源,10.030959129333496,17.77,653022304,22515265295.54,23072465360.48,2.9621262550354004,3741953,100624,145600,7,1/1,1,燃气Ⅱ,002911,佛燃能源,1,10.030959129333496,22515265295.54,2.9621262550354004,653022304,100624,7,20260303
44,300332,天壕能源,20.066333770751953,7.24,1210121408,6008844016.440001,6263489072.0,21.303741455078125,175866999,102806,102806,0,1/1,1,燃气Ⅱ,300332,天壕能源,1,20.066333770751953,6008844016.440001,21.303741455078125,1210121408,102806,0,20260303
45,600583,海油工程,9.96216869354248,8.72,3348724176,38554213856.0,38554213437.44,8.800397872924805,22909663,103030,145503,15,2/2,2,油服工程,600583,海油工程,2,9.96216869354248,38554213856.0,8.800397872924805,3348724176,103030,15,20260303
46,300191,潜能恒信,20.009044647216797,53.08,2207018304,11741030600.0,16985600000.0,19.438480377197266,100919358,103254,131424,10,6/3,2,油服工程,300191,潜能恒信,2,20.009044647216797,11741030600.0,19.438480377197266,2207018304,103254,10,20260303
47,601857,中国石油,10.041841506958008,13.15,11760288000,2129275323306.7,2406725863014.4,0.56661057472229,1001281962,103935,105920,1,2/2,2,炼化及贸,601857,中国石油,2,10.041841506958008,2129275323306.7,0.56661057472229,11760288000,103935,1,20260303
48,920088,科力股份,30.000001907348633,89.18,894502320,2834256155.6400003,7854216370.000001,33.484375,79217791,103936,103936,0,2/2,2,油服工程,920088,科力股份,2,30.000001907348633,2834256155.6400003,33.484375,894502320,103936,0,20260303
49,002350,北京科锐,10.008410453796387,13.08,1028156256,6939613240.68,7093693979.52,15.686800003051758,67007545,105915,105915,0,4/3,1,电网设备,002350,北京科锐,1,10.008410453796387,6939613240.68,15.686800003051758,1028156256,105915,0,20260303
50,600938,中国海油,10.010136604309082,43.41,10837477376,129795899999.99998,2063275305223.68,8.47091007232666,235157048,110401,143258,13,2/2,2,油气开采,600938,中国海油,2,10.010136604309082,129795899999.99998,8.47091007232666,10837477376,110401,13,20260303
51,603139,康惠股份,10.01173210144043,28.13,182714111,2809624400.0,2809624400.0,6.752620220184326,27355693,110709,110709,0,1/1,1,中药Ⅱ,603139,康惠股份,1,10.01173210144043,2809624400.0,6.752620220184326,182714111,110709,0,20260303
52,300483,首华燃气,19.990413665771484,25.03,2739659680,8778104224.75,8781107899.84,32.511199951171875,49441433,111148,144039,6,1/1,1,燃气Ⅱ,300483,首华燃气,1,19.990413665771484,8778104224.75,32.511199951171875,2739659680,111148,6,20260303
53,603727,博迈科,9.994952201843262,21.79,923878320,6138663045.83,6138663111.2,15.29049301147461,9472113,111210,144358,11,6/3,2,油服工程,603727,博迈科,2,9.994952201843262,6138663045.83,15.29049301147461,923878320,111210,11,20260303
54,920010,凯添燃气,29.948108673095703,17.53,623640960,3043970169.34,4110785000.0000005,21.83127212524414,29350496,112024,112024,0,1/1,1,燃气Ⅱ,920010,凯添燃气,1,29.948108673095703,3043970169.34,21.83127212524414,623640960,112024,0,20260303
55,601872,招商轮船,10.0223970413208,19.65,7281220608,158664681564.3,158664681446.4,4.700533866882324,56104719,112455,145255,6,8/5,2,航运港口,601872,招商轮船,2,10.0223970413208,158664681564.3,4.700533866882324,7281220608,112455,6,20260303
56,600256,广汇能源,10.046367645263672,7.12,6852319744,45511061103.68,45511061872.64,15.363350868225098,29832002,112655,145055,3,2/2,2,炼化及贸,600256,广汇能源,2,10.046367645263672,45511061103.68,15.363350868225098,6852319744,112655,3,20260303
57,601022,宁波远洋,9.980430603027344,11.24,848395328,14709038674.16,14709038606.720001,5.978211879730225,44939543,112750,112750,0,1/1,1,航运港口,601022,宁波远洋,1,9.980430603027344,14709038674.16,5.978211879730225,848395328,112750,0,20260303
58,002267,陕天然气,9.975668907165527,9.04,832882144,10053162022.8,10053161977.599998,8.544371604919434,63272894,130039,130039,0,1/1,1,燃气Ⅱ,002267,陕天然气,1,9.975668907165527,10053162022.8,8.544371604919434,832882144,130039,0,20260303
59,600028,中国石化,9.98593521118164,7.82,11427389952,740964357432.5,945637533368.3201,1.585645318031311,202873579,130059,142738,11,1/1,1,炼化及贸,600028,中国石化,1,9.98593521118164,740964357432.5,1.585645318031311,11427389952,130059,11,20260303
60,600367,红星发展,10.021231651306152,25.91,2653755248,8342325145.62,8838701515.36,32.441123962402344,11505957,130131,145634,5,2/2,2,化学原料,600367,红星发展,2,10.021231651306152,8342325145.62,32.441123962402344,2653755248,130131,5,20260303
61,603689,皖天然气,10.011507987976074,9.56,513701152,4982056001.400001,5028833186.56,10.6410551071167,3304901,130135,143902,15,1/1,1,燃气Ⅱ,603689,皖天然气,1,10.011507987976074,4982056001.400001,10.6410551071167,513701152,130135,15,20260303
62,000096,广聚能源,10.033166885375977,13.27,1267520928,6778952960.0,7006560000.0,19.212583541870117,6496992,130136,145312,3,2/2,2,炼化及贸,000096,广聚能源,2,10.033166885375977,6778952960.0,19.212583541870117,1267520928,130136,3,20260303
63,600917,重庆燃气,9.931507110595703,6.42,744196000,10021875259.2,10021875259.2,7.604278087615967,7578810,130142,144827,12,1/1,1,燃气Ⅱ,600917,重庆燃气,1,9.931507110595703,10021875259.2,7.604278087615967,744196000,130142,12,20260303
64,920014,特瑞斯,30.000001907348633,17.81,352610752,1194112377.3799999,2170268592.83,31.982666015625,10293342,130145,132012,3,1/1,1,燃气Ⅱ,920014,特瑞斯,1,30.000001907348633,1194112377.3799999,31.982666015625,352610752,130145,3,20260303
65,601015,陕西黑猫,10.058026313781738,5.69,1170007488,11621811565.91,11621811526.08,10.639236450195312,92098487,130149,130149,0,1/1,1,焦炭Ⅱ,601015,陕西黑猫,1,10.058026313781738,11621811565.91,10.639236450195312,1170007488,130149,0,20260303
66,603053,成都燃气,10.0,11.33,445800736,10071123700.0,10071123700.0,4.533130645751953,3478661,130256,145414,4,1/1,1,燃气Ⅱ,603053,成都燃气,1,10.0,10071123700.0,4.533130645751953,445800736,130256,4,20260303
67,605368,蓝天燃气,10.058479309082031,9.41,559435760,6724723960.150001,6724724007.2,8.517480850219727,7239508,130341,142853,10,1/1,1,燃气Ⅱ,605368,蓝天燃气,1,10.058479309082031,6724723960.150001,8.517480850219727,559435760,130341,10,20260303
68,601139,深圳燃气,10.069930076599121,7.87,1317491824,22639962900.49,22639962939.84,6.031846046447754,6825926,130831,144558,7,1/1,1,燃气Ⅱ,601139,深圳燃气,1,10.069930076599121,22639962900.49,6.031846046447754,1317491824,130831,7,20260303
69,601866,中远海发,10.169490814208984,3.25,2451498864,31693947415.0,42892381376.0,7.942933082580566,50573919,131042,144327,3,1/1,1,航运港口,601866,中远海发,1,10.169490814208984,31693947415.0,7.942933082580566,2451498864,131042,3,20260303
70,000421,南京公用,9.957324981689453,7.73,462525792,4439310375.81,4440233577.440001,10.751571655273438,128991267,131054,131054,0,1/1,1,综合Ⅱ,000421,南京公用,1,9.957324981689453,4439310375.81,10.751571655273438,462525792,131054,0,20260303
71,601083,锦江航运,10.01602554321289,13.73,794466240,2665267600.0,17768267600.0,30.82480812072754,1592680,131144,150000,2,1/1,1,航运港口,601083,锦江航运,1,10.01602554321289,2665267600.0,30.82480812072754,794466240,131144,2,20260303
